"Table 8: Age-specific percentages of health status, by IMD, by sex and age in England, 2021 [Notes 1 to 11]",,,,,,,,,,,,,
"Census 2021, England",,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,
Back to contents (this text contains a link),,,,,,,,,,,,,
Year,Country,Health Status,Sex,Age,IMD Decile,Count,Population,Age-specific Percentage,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Notes,,
2021,England,Very good,Persons,80 to 84,1,"6,005","93,650",6.4,6.2,6.6,[z],,
2021,England,Very good,Persons,85 to 89,1,"2,580","55,820",4.6,4.4,4.8,[z],,
2021,England,Very good,Persons,90+,1,"1,030","30,980",3.3,3.1,3.5,[z],,
2021,England,Very good,Persons,Under 1,2,"56,860","68,755",82.7,82,83.4,[z],,
2021,England,Very good,Persons,1 to 4,2,"235,955","291,160",81,80.7,81.4,[z],,
2021,England,Very good,Persons,5 to 9,2,"297,745","382,465",77.8,77.6,78.1,[z],,
2021,England,Very good,Persons,10 to 14,2,"285,135","384,495",74.2,73.9,74.4,[z],,
2021,England,Very good,Persons,15 to 19,2,"235,265","356,770",65.9,65.7,66.2,[z],,
2021,England,Very good,Persons,20 to 24,2,"228,200","402,365",56.7,56.5,56.9,[z],,
2021,England,Very good,Persons,25 to 29,2,"238,910","442,195",54,53.8,54.2,[z],,
2021,England,Very good,Persons,30 to 34,2,"229,080","460,920",49.7,49.5,49.9,[z],,
2021,England,Very good,Persons,35 to 39,2,"186,085","419,025",44.4,44.2,44.6,[z],,
